plz,mdbid
21509,857962
22946,857962
22956,857962
22946,857962
22927,857962
22929,857962
22946,857962
22955,857962
22929,857962
22952,857962
22113,857962
22929,857962
21465,857962
22962,857962
22145,857962
22946,857962
22969,857962
22946,857962
23552,861362
23919,861362
23919,861362
23847,861362
23847,861362
23919,861362
23847,861362
23847,861362
23860,861362
23847,861362
23628,861362
23898,861362
23628,861362
23898,861362
22959,861362
23898,861362
23919,861362
23919,861362
23898,861362
23847,861362
22929,861362
23847,861362
23847,861362
23847,861362
23898,861362
23847,861362
23847,861362
23898,861362
19053,860830
19069,860830
19071,860830
19217,860830
19071,860830
19071,860830
23942,860830
19217,860830
19205,860830
19205,860830
19209,860830
19071,860830
23936,860830
19217,860830
19217,860830
19069,860830
19205,860830
19217,860830
19205,860830
19069,860830
23923,860830
19209,860830
23923,860830
19205,860830
19209,860830
19069,860830
19205,860830
19217,860830
19217,860830
23923,860830
19205,860830
19205,860830
19209,860830
19217,860830
23923,860830
19069,860830
23923,860830
19217,860830
19217,860830
19205,860830
19069,860830
19217,860830
23923,860830
19288,860830
19230,860830
19300,860830
19230,860830
19230,860830
19258,860830
19258,860830
19306,860830
19230,860830
19258,860830
19273,860830
19306,860830
19294,860830
19230,860830
19300,860830
19357,860830
19260,860830
19303,860830
19073,860830
19294,860830
19258,860830
19230,860830
19288,860830
19294,860830
19300,860830
19294,860830
19258,860830
19258,860830
19230,860830
19288,860830
19230,860830
19075,860830
19230,860830
19230,860830
19294,860830
19294,860830
19230,860830
19073,860830
19246,860830
19300,860830
19230,860830
19077,860830
19288,860830
19249,860830
19288,860830
19246,860830
19294,860830
19294,860830
19300,860830
19300,860830
19230,860830
19300,860830
19258,860830
19294,860830
19306,860830
19258,860830
19075,860830
19230,860830
19230,860830
19300,860830
19230,860830
19077,860830
19230,860830
19073,860830
19258,860830
19073,860830
19230,860830
19077,860830
19273,860830
19258,860830
19077,860830
19260,860830
19303,860830
19230,860830
19288,860830
19075,860830
19243,860830
19243,860830
19073,860830
19288,860830
19246,860830
19300,860830
19073,860830
19230,860830
18211,857516
18233,857516
18233,857516
18209,857516
18209,857516
18230,857516
18230,857516
18211,857516
18233,857516
18209,857516
18236,857516
18225,857516
18233,857516
18211,857516
18209,857516
18230,857516
18211,857516
18239,857516
18209,857516
18209,857516
23996,857516
23968,857516
23970,857516
23936,857516
19417,857516
23974,857516
23996,857516
23974,857516
23946,857516
23948,857516
23972,857516
23968,857516
23992,857516
23936,857516
23972,857516
23996,857516
23968,857516
23974,857516
23999,857516
19417,857516
23942,857516
23948,857516
23974,857516
23992,857516
23972,857516
23972,857516
23974,857516
23992,857516
23992,857516
23936,857516
23936,857516
23936,857516
23936,857516
19417,857516
19417,857516
23936,857516
23952,857516
23968,857516
23992,857516
23992,857516
23936,857516
19079,857516
19395,857516
19089,857516
19412,857516
19406,857516
19412,857516
19089,857516
19067,857516
19089,857516
19406,857516
19089,857516
19399,857516
19067,857516
19374,857516
19089,857516
19386,857516
19065,857516
19399,857516
19386,857516
19372,857516
19406,857516
19372,857516
19406,857516
19386,857516
19386,857516
19412,857516
19067,857516
19067,857516
19372,857516
19386,857516
19374,857516
19406,857516
19399,857516
19370,857516
19386,857516
19065,857516
19086,857516
19395,857516
19065,857516
19372,857516
19376,857516
19372,857516
19406,857516
19372,857516
19079,857516
19399,857516
19089,857516
19412,857516
19386,857516
19406,857516
19089,857516
19372,857516
19374,857516
19374,857516
19386,857516
19395,857516
19412,857516
19376,857516
18055,860826
18258,860826
18182,860826
18182,860826
18258,860826
18184,860826
18195,860826
18196,860826
18107,860826
18182,860826
18195,860826
18181,860826
18195,860826
18258,860826
18198,860826
18069,860826
18182,860826
18195,860826
18059,860826
18059,860826
18184,860826
18184,860826
18182,860826
18258,860826
18190,860826
18258,860826
18195,860826
18198,860826
18195,860826
18195,860826
18195,860826
18184,860826
18258,860826
18258,860826
18195,860826
18059,860826
18320,860822
18347,860822
18573,860822
18556,860822
18445,860822
18586,860822
18334,860822
18356,860822
18528,860822
18609,860822
18375,860822
18556,860822
18528,860822
18334,860822
18513,860822
18347,860822
